20200505;130000;8.858.3900000;8.893.1100000;8.826.2900000;8.877.6900000;314
20200505;140000;8.876.0200000;8.966.6500000;8.852.3800000;8.930.6300000;406
20200505;150000;8.930.0300000;8.940.0500000;8.823.1000000;8.894.0000000;512
20200505;160000;8.882.4700000;8.893.9000000;8.835.1800000;8.855.0100000;357
20200505;170000;8.855.5000000;8.904.8000000;8.828.7900000;8.884.1800000;358
20200505;180000;8.881.4800000;8.936.0000000;8.851.9500000;8.883.6300000;315
20200505;190000;8.875.8100000;8.920.8000000;8.859.5900000;8.897.1200000;309
20200505;200000;8.894.0800000;8.945.0000000;8.886.0000000;8.915.3500000;231
20200505;210000;8.909.6900000;8.977.7200000;8.904.7300000;8.954.7000000;91
20200505;220000;8.954.7000000;9.013.2100000;8.954.7000000;8.977.4600000;160
20200505;230000;8.984.3100000;8.996.3200000;8.916.3700000;8.984.1800000;431
20200506;000000;8.979.0100000;9.046.2900000;8.952.2900000;9.034.8500000;189
20200506;010000;9.040.0000000;9.043.3700000;8.921.0300000;8.957.4200000;352
20200506;020000;8.956.3900000;9.001.7900000;8.943.2300000;8.993.1000000;135
20200506;030000;8.993.1000000;8.993.1000000;8.951.9700000;8.981.2000000;52
20200506;040000;8.980.7600000;9.078.9100000;8.959.8900000;8.976.6400000;491
20200506;050000;8.981.7300000;9.064.8000000;8.966.6600000;9.008.5600000;199
20200506;060000;9.009.5100000;9.049.9800000;8.988.0200000;9.013.2400000;149
20200506;070000;9.017.0000000;9.058.0400000;9.006.7300000;9.034.0000000;115
20200506;080000;9.030.5200000;9.058.8300000;9.003.1800000;9.032.0000000;235
20200506;090000;9.038.2000000;9.120.0000000;9.009.9900000;9.054.9800000;921
20200506;100000;9.051.2000000;9.111.9700000;9.047.4700000;9.102.0000000;408
20200506;110000;9.108.6300000;9.300.0000000;9.079.4600000;9.240.8800000;2.059
20200506;120000;9.238.4400000;9.364.0000000;9.205.1600000;9.330.0000000;890
20200506;130000;9.327.8100000;9.400.0000000;9.232.6700000;9.243.2100000;1.374
