<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220525;090000;29.677.3100000;29.904.1000000;29.538.1600000;29.781.9300000;44
20220525;100000;29.788.7100000;29.848.6900000;29.666.4500000;29.794.0500000;6
20220525;110000;29.794.1200000;29.834.4500000;29.662.6300000;29.701.0000000;0
20220525;120000;29.690.6300000;29.733.1100000;29.317.3000000;29.382.1100000;105
20220525;130000;29.380.7200000;29.594.8200000;29.313.7800000;29.535.1300000;8
20220525;140000;29.527.0900000;29.820.0000000;29.455.8600000;29.691.1700000;75
20220525;150000;29.671.4100000;29.882.1100000;29.634.6900000;29.752.9100000;47
20220525;160000;29.746.3100000;29.803.4700000;29.568.0200000;29.606.5800000;26
20220525;170000;29.596.1200000;29.675.3600000;29.400.0000000;29.546.9600000;64
20220525;180000;29.536.4100000;29.763.7800000;29.518.0300000;29.697.2100000;11
20220525;190000;29.700.6100000;30.009.6100000;29.512.5100000;29.865.6300000;126
20220525;200000;29.851.0000000;29.956.2500000;29.551.6000000;29.563.5400000;49
20220525;210000;29.572.0300000;29.770.6100000;29.525.4400000;29.765.0100000;5
20220525;220000;29.769.3000000;29.812.4200000;29.721.5900000;29.803.4100000;3
20220525;230000;29.803.4100000;29.859.7500000;29.718.2800000;29.760.7100000;9
20220526;000000;29.761.3100000;29.761.3100000;29.412.4300000;29.510.1500000;48
