<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20220526;010000;29.511.9500000;29.846.1700000;29.470.0000000;29.756.6900000;11
20220526;020000;29.765.8400000;29.796.3200000;29.632.9400000;29.656.0900000;12
20220526;030000;29.657.8500000;29.853.3400000;29.657.8500000;29.782.0500000;7
20220526;040000;29.785.8400000;29.821.9300000;29.645.1100000;29.805.3400000;2
20220526;050000;29.811.5000000;29.842.7300000;29.724.0200000;29.742.5200000;4
20220526;060000;29.742.5200000;29.816.2400000;29.637.2800000;29.696.4300000;0
20220526;070000;29.699.9800000;29.720.8800000;29.472.4900000;29.656.0200000;25
20220526;080000;29.656.0200000;29.717.4000000;29.536.3700000;29.709.2800000;23
20220526;090000;29.704.2100000;29.712.0000000;28.870.4500000;28.974.1600000;197
20220526;100000;28.974.1600000;29.222.4700000;28.849.6700000;29.163.8000000;58
20220526;110000;29.163.3300000;29.225.9700000;29.093.5200000;29.120.6700000;17
20220526;120000;29.103.9000000;29.139.4500000;28.895.3200000;28.977.1500000;109
20220526;130000;28.946.5600000;29.102.9100000;28.750.0000000;28.898.6100000;305
20220526;140000;28.898.6100000;28.928.7000000;28.003.0000000;28.800.9400000;387
20220526;150000;28.783.1500000;29.329.0700000;28.781.2000000;29.223.7000000;182
20220526;160000;29.226.9600000;29.470.7900000;29.197.6000000;29.385.3900000;25
20220526;170000;29.366.5900000;29.738.0700000;29.347.3100000;29.566.4800000;119
20220526;180000;29.552.8900000;29.651.8700000;29.421.7300000;29.626.7900000;43
20220526;190000;29.618.9200000;29.632.5400000;29.463.4000000;29.584.2100000;57
20220526;200000;29.591.3300000;29.606.7300000;29.354.4900000;29.366.8200000;52
20220526;210000;29.353.1300000;29.566.0000000;29.248.4800000;29.443.5400000;9
20220526;220000;29.440.8100000;29.656.9600000;29.423.8300000;29.557.1200000;18
20220526;230000;29.551.5800000;29.633.3900000;29.464.0500000;29.486.0000000;20
20220527;000000;29.470.8900000;29.529.5600000;29.158.3900000;29.183.0600000;30
20220527;010000;29.183.3900000;29.360.3400000;29.005.6800000;29.025.2700000;15
20220527;020000;29.042.6700000;29.097.9900000;28.863.5200000;28.902.9200000;89
20220527;030000;28.934.0500000;29.058.9100000;28.812.3300000;28.967.9000000;16
20220527;040000;28.962.8400000;29.107.8800000;28.936.7300000;28.999.6600000;48
20220527;050000;28.987.1100000;29.077.7000000;28.842.7500000;28.892.9200000;2
20220527;060000;28.892.7600000;29.011.1600000;28.611.8000000;28.775.5100000;83
20220527;070000;28.754.6800000;28.998.9100000;28.604.9300000;28.952.6600000;27
20220527;080000;28.958.6500000;29.199.5500000;28.877.5600000;28.956.5200000;105
20220527;090000;28.955.8700000;29.100.0000000;28.742.5600000;28.908.3900000;74
20220527;100000;28.913.6000000;29.052.2100000;28.859.3600000;29.015.5200000;3
20220527;110000;29.001.5800000;29.021.3800000;28.739.1100000;28.793.4800000;8
20220527;120000;28.781.9800000;29.012.4700000;28.769.7900000;28.870.4600000;22
20220527;130000;28.862.0000000;29.289.1700000;28.792.6400000;29.234.6300000;98
20220527;140000;29.217.8000000;29.359.2800000;29.103.3100000;29.309.3500000;21
20220527;150000;29.294.3100000;29.314.7300000;28.703.2400000;28.763.8500000;80
20220527;160000;28.758.9900000;28.923.7000000;28.615.2300000;28.822.4300000;53
20220527;170000;28.812.3700000;28.896.2500000;28.630.0000000;28.718.3100000;5
20220527;180000;28.701.3100000;28.832.6100000;28.300.0000000;28.333.8300000;117
20220527;190000;28.351.9000000;28.465.2100000;28.253.5700000;28.446.2400000;84
20220527;200000;28.436.9900000;29.016.3200000;28.393.2700000;28.855.3400000;145
